liga,periodo,temporadas,clube,titulos
La Liga,1929-2026,97,Real Madrid,36
La Liga,1929-2026,97,Barcelona,29
La Liga,1929-2026,97,Atletico Madrid,11
La Liga,1929-2026,97,Athletic Bilbao,8
La Liga,1929-2026,97,Valencia,6
La Liga,1929-2026,97,Real Sociedad,2
La Liga,1929-2026,97,Deportivo La Coruna,1
La Liga,1929-2026,97,Sevilla,1
La Liga,1929-2026,97,Real Betis,1
Brasileirao (pontos corridos),2003-2025,23,Corinthians,4
Brasileirao (pontos corridos),2003-2025,23,Palmeiras,4
Brasileirao (pontos corridos),2003-2025,23,Cruzeiro,3
Brasileirao (pontos corridos),2003-2025,23,Flamengo,3
Brasileirao (pontos corridos),2003-2025,23,Sao Paulo,3
Brasileirao (pontos corridos),2003-2025,23,Fluminense,2
Brasileirao (pontos corridos),2003-2025,23,Santos,1
Brasileirao (pontos corridos),2003-2025,23,Atletico Mineiro,1
Brasileirao (pontos corridos),2003-2025,23,Botafogo,1
