player,fase,gols,assistencias,fonte
Messi,grupos,4,1,reportagem (Goalscorner; FIFA)
Messi,oitavas,2,0,reportagem (Goalscorner; FIFA)
Messi,quartas,1,1,reportagem - fase nao confirmada; alocado por eliminacao
Messi,semifinal,1,2,reportagem (FoxSports - assistencias decisivas na semifinal)
Messi,final,0,0,reportagem (FIFA - sem gols na final; Argentina perdeu 1-0)
Mbappe,grupos,4,1,reportagem (FIFA; Al Jazeera) - distribuicao aproximada
Mbappe,oitavas,3,1,reportagem (ESPN - recorde de gols em mata-mata)
Mbappe,quartas,1,1,reportagem - distribuicao aproximada
Mbappe,semifinal,1,1,reportagem - distribuicao aproximada
Mbappe,terceiro_lugar,2,0,reportagem (ABC News - 6-4 para a Inglaterra no jogo de 3o lugar)
